,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771531,51.33622884750366,0.021262407302856445,51.35749125480652,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646791,7.788610458374023,0.019023418426513672,7.807633876800537,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121283,8.13441276550293,0.016304731369018555,8.150717496871948,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673895,6.744933128356934,0.01303553581237793,6.7579686641693115,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864777,9.627008438110352,0.016982316970825195,9.643990755081177,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447806,5.3000688552856445,0.015430212020874023,5.3154990673065186,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139573,5.21085262298584,0.015880584716796875,5.226733207702637,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1680209,15.316522121429443,0.01618671417236328,15.332708835601807,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444946,11.938118934631348,0.013082027435302734,11.95120096206665,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49487,3.1513333320617676,0.01601386070251465,3.1673471927642822,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300898,2.934861183166504,0.013535022735595703,2.9483962059020996,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2268163,17.662453651428223,0.024330615997314453,17.686784267425537,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1317021,8.455932140350342,0.010475397109985352,8.466407537460327,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590837,3.4624099731445312,0.007462501525878906,3.46987247467041,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827685,8.713459968566895,0.013585805892944336,8.727045774459839,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145249,4.737663269042969,0.01856851577758789,4.756231784820557,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268262,2.0406723022460938,0.008937358856201172,2.049609661102295,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,569152,4.491710662841797,0.009645938873291016,4.501356601715088,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307296,28.76962423324585,0.035776615142822266,28.805400848388672,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163677,2.1083593368530273,0.009160995483398438,2.117520332336426,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793487,18.158268928527832,0.02965259552001953,18.18792152404785,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060943,16.068685054779053,0.01949906349182129,16.088184118270874,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137446,2.4430155754089355,0.009800195693969727,2.4528157711029053,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234475,1.8140554428100586,0.009050607681274414,1.823106050491333,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,465314,2.223837375640869,0.014295101165771484,2.2381324768066406,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2263793,23.098468780517578,0.023578166961669922,23.122046947479248,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,651640,4.448390007019043,0.009281158447265625,4.457671165466309,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1140947,10.489225387573242,0.018668413162231445,10.507893800735474,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179762,3.3618688583374023,0.012567758560180664,3.374436616897583,6.46 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,445343,3.577709197998047,0.012576818466186523,3.5902860164642334,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1515031,9.732484817504883,0.016564130783081055,9.749048948287964,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1756983,8.391666412353516,0.012200355529785156,8.4038667678833,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74497,3.151988983154297,0.015320777893066406,3.1673097610473633,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214423,3.7834882736206055,0.01571822166442871,3.799206495285034,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2004203,12.276756763458252,0.01621222496032715,12.292968988418579,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,561185,5.723977088928223,0.013446569442749023,5.737423658370972,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,115171,2.744770050048828,0.012296199798583984,2.757066249847412,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305692,3.9752840995788574,0.015729665756225586,3.991013765335083,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1497237,14.36845064163208,0.018983125686645508,14.387433767318726,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,410251,4.969215393066406,0.016453266143798828,4.985668659210205,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1079320,8.08718204498291,0.02095484733581543,8.108136892318726,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,731447,8.66239070892334,0.017632484436035156,8.680023193359375,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2013415,13.210701942443848,0.016323328018188477,13.227025270462036,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2063589,15.23219347000122,0.018396615982055664,15.250590085983276,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1084251,5.560803413391113,0.01188206672668457,5.572685480117798,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,402432,7.54704475402832,0.022269487380981445,7.569314241409302,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,538387,10.060262680053711,0.01623702049255371,10.076499700546265,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1393812,10.007786750793457,0.016022920608520508,10.023809671401978,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065992,9.264206886291504,0.0163576602935791,9.280564546585083,86.4 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353979,3.818047046661377,0.015695571899414062,3.833742618560791,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219805,3.890836238861084,0.013926267623901367,3.9047625064849854,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,837844,6.054162979125977,0.012007474899291992,6.0661704540252686,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,712311,7.3848724365234375,0.013225078582763672,7.398097515106201,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,486255,7.838773727416992,0.023193836212158203,7.86196756362915,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186767,5.362403392791748,0.01711559295654297,5.379518985748291,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362992,1.993119716644287,0.010175466537475586,2.0032951831817627,31.14 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,568978,6.833243370056152,0.013303518295288086,6.84654688835144,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,86072,2.3191452026367188,0.009216547012329102,2.328361749649048,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,847299,3.8103342056274414,0.008278369903564453,3.818612575531006,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43662,2.2404909133911133,0.008213520050048828,2.248704433441162,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30547,2.389359474182129,0.009138345718383789,2.3984978199005127,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72488,2.459120750427246,0.008980989456176758,2.468101739883423,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,770161,4.942965507507324,0.012077093124389648,4.955042600631714,64.76 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,348585,4.0650248527526855,0.01685500144958496,4.0818798542022705,10.93 MMac
64,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,410999,1.8613457679748535,0.009400606155395508,1.870746374130249,34.97 MMac
65,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,770318,6.125283241271973,0.014298439025878906,6.139581680297852,24.52 MMac
66,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1166146,5.478930473327637,0.01243734359741211,5.491367816925049,34.28 MMac
67,"['rp', 'gas', 'regas', 'trgas', 'regad']",2,2,71,845611,6.042742729187012,0.012724161148071289,6.055466890335083,67.59 MMac
68,"['rerp', 'trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,29,895633,10.75747013092041,0.022984981536865234,10.780455112457275,27.74 MMac
69,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'mk']",4,1,17,581330,6.962299346923828,0.016191482543945312,6.978490829467773,6.89 MMac
70,"['rp', 'rerp', 'gas', 'trgas', 'trgad', 'remk']",2,2,38,243871,3.0089616775512695,0.012897014617919922,3.0218586921691895,20.67 MMac
71,"['trrp', 'gas', 'gad']",2,3,52,619444,8.453798294067383,0.014869451522827148,8.46866774559021,49.23 MMac
72,"['mk', 'remk']",4,1,31,1811039,12.667322158813477,0.015481233596801758,12.682803392410278,17.33 MMac
73,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,3,75,1341882,12.586534023284912,0.020495891571044922,12.607029914855957,110.77 MMac
74,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'remk', 'trmk', 'ctwav']",3,1,33,508536,5.367612838745117,0.012786149978637695,5.380398988723755,16.78 MMac
75,"['gas', 'gad', 'regad', 'trgad', 'mk']",2,2,77,989709,5.7791948318481445,0.012212514877319336,5.791407346725464,78.82 MMac
76,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,3,12,39442,4.070413112640381,0.019589662551879883,4.090002775192261,4.05 MMac
77,"['trrp', 'gas', 'regas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,26,488169,4.0810465812683105,0.017873764038085938,4.0989203453063965,15.87 MMac
78,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'regad', 'mk', 'remk']",2,3,91,1939114,11.967158317565918,0.017061233520507812,11.984219551086426,155.8 MMac
79,"['regas', 'gad', 'trgad', 'trmk', 'ctwav']",3,2,47,1629343,12.816989421844482,0.017472505569458008,12.83446192741394,47.56 MMac
80,"['gas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,93,2018021,12.993800640106201,0.016625404357910156,13.010426044464111,161.23 MMac
81,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad']",3,2,49,1769081,15.86008071899414,0.018349409103393555,15.878430128097534,52.07 MMac
82,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk']",3,2,27,563437,10.645723342895508,0.018108129501342773,10.66383147239685,17.81 MMac
83,"['trrp', 'gas', 'regas', 'gad', 'trgad', 'mk']",3,3,21,484099,7.601535320281982,0.022426843643188477,7.623962163925171,15.09 MMac
84,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",2,2,86,1220991,9.343492984771729,0.016277074813842773,9.359770059585571,100.54 MMac
85,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,22,866933,7.459354400634766,0.01887965202331543,7.478234052658081,10.36 MMac
86,"['gas', 'regas', 'gad', 'regad']",2,2,66,709077,5.261588096618652,0.012132644653320312,5.273720741271973,56.38 MMac
87,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,3,43,456430,4.740667343139648,0.01641392707824707,4.7570812702178955,38.39 MMac
88,"['trrp', 'gas', 'remk', 'trmk', 'ctwav']",2,3,37,337531,4.70118522644043,0.015533447265625,4.716718673706055,27.83 MMac
89,"['gad', 'mk', 'trmk', 'ctwav']",4,2,15,744863,13.079428672790527,0.022105932235717773,13.101534605026245,7.78 MMac
90,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,68,765653,6.753396987915039,0.013141632080078125,6.766538619995117,63.13 MMac
91,"['rp', 'trgas', 'gad', 'mk', 'remk']",3,3,26,671618,14.566421508789062,0.021926164627075195,14.588347673416138,20.29 MMac
92,"['rp', 'trrp', 'gas', 'trgas']",3,1,48,992875,5.722713470458984,0.011688947677612305,5.734402418136597,28.87 MMac
93,"['rerp', 'gas', 'gad', 'trgad', 'remk']",3,2,35,921337,10.387015342712402,0.01709294319152832,10.40410828590393,27.46 MMac
94,"['rerp', 'trrp', 'trgad', 'mk']",3,3,14,198165,7.334804534912109,0.02122640609741211,7.3560309410095215,6.26 MMac
95,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",2,1,55,320705,2.4628281593322754,0.01191258430480957,2.474740743637085,28.23 MMac
96,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'mk', 'remk']",2,1,94,861117,3.3777952194213867,0.009303569793701172,3.387098789215088,69.5 MMac
97,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,32,182999,3.1181812286376953,0.01654791831970215,3.1347291469573975,17.11 MMac
98,"['rerp', 'gas', 'regas', 'mk', 'trmk', 'ctwav']",2,1,19,44642,1.7082571983337402,0.008443117141723633,1.7167003154754639,4.39 MMac
99,"['rp', 'gas', 'gad']",4,3,24,2306821,22.804248332977295,0.030968189239501953,22.835216522216797,22.52 MMac
100,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",2,3,70,1131573,7.9814910888671875,0.01682281494140625,7.998313903808594,92.21 MMac
101,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'remk']",3,2,37,1028989,8.734869956970215,0.018770933151245117,8.75364089012146,31.39 MMac
102,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'remk']",3,2,45,1499491,13.213884830474854,0.017994403839111328,13.231879234313965,44.41 MMac
103,"['gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,86,1212563,9.409403800964355,0.013319253921508789,9.422723054885864,98.38 MMac
104,"['rp', 'trrp', 'trgad', 'mk', 'remk', 'trmk']",2,2,85,1204135,10.282087326049805,0.012731790542602539,10.294819116592407,96.23 MMac
105,"['gas', 'trgad', 'mk']",3,1,55,1345113,8.5984468460083,0.01195073127746582,8.610397577285767,38.05 MMac
106,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'ctwav']",4,2,23,1670731,19.99039649963379,0.023071765899658203,20.013468265533447,17.9 MMac
107,"['regas', 'regad', 'trmk', 'ctwav']",3,1,21,213071,3.2249927520751953,0.011372089385986328,3.2363648414611816,6.77 MMac
108,"['rp', 'rerp', 'gas', 'regas', 'mk', 'ctwav']",2,3,40,375337,5.160713195800781,0.015577316284179688,5.176290512084961,31.16 MMac
109,"['rp', 'trgas', 'gad', 'trgad', 'mk', 'trmk', 'ctwav']",4,2,27,2267909,20.398592948913574,0.023139238357543945,20.421732187271118,23.46 MMac
110,"['rerp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",3,1,34,510202,5.4695844650268555,0.015402078628540039,5.4849865436553955,17.21 MMac
111,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'mk', 'trmk']",3,1,33,506870,5.622386932373047,0.012731552124023438,5.63511848449707,16.35 MMac
112,"['rerp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",3,1,33,510202,5.6809186935424805,0.015252828598022461,5.696171522140503,17.21 MMac
