,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,957.5287699699402,0.221085786819458,957.7498557567596,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,611.0796928405762,0.195387601852417,611.2750804424286,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,539.5590782165527,0.20018291473388672,539.7592611312866,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,419.06354427337646,0.17429518699645996,419.2378394603729,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,509.34901237487793,0.22032928466796875,509.5693416595459,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,273.1053352355957,0.17967700958251953,273.2850122451782,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,215.75231552124023,0.19732904434204102,215.94964456558228,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,851.1114478111267,0.19735193252563477,851.3087997436523,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,573.4396934509277,0.16259455680847168,573.6022880077362,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,193.4988498687744,0.22023248672485352,193.71908235549927,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,193.6623454093933,0.12489914894104004,193.78724455833435,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,1014.844536781311,0.24515604972839355,1015.0896928310394,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,467.8492784500122,0.13649749755859375,467.9857759475708,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,289.768385887146,0.13213396072387695,289.9005198478699,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,558.9097261428833,0.251361608505249,559.1610877513885,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,218.2148814201355,0.15755224227905273,218.37243366241455,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,133.992600440979,0.10737872123718262,134.0999791622162,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,271.62890434265137,0.1318659782409668,271.76077032089233,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,1202.3525476455688,0.5564606189727783,1202.9090082645416,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,141.22939109802246,0.1344773769378662,141.36386847496033,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,773.3816862106323,0.3173050880432129,773.6989912986755,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,903.5175919532776,0.21417021751403809,903.7317621707916,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,145.45254707336426,0.16695451736450195,145.61950159072876,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,98.98654222488403,0.09728789329528809,99.08383011817932,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,106.74070119857788,0.11361980438232422,106.8543210029602,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2261688,925.2503871917725,0.2727015018463135,925.5230886936188,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650405,291.43035411834717,0.13236141204833984,291.5627155303955,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139542,615.0201559066772,0.26050496101379395,615.280660867691,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179057,194.61157321929932,0.13525962829589844,194.74683284759521,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444218,180.8645486831665,0.13835978507995605,181.00290846824646,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513586,435.6056213378906,0.18423223495483398,435.78985357284546,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1754738,558.3523035049438,0.14313149452209473,558.4954349994659,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74192,155.52202463150024,0.13643193244934082,155.65845656394958,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,213968,278.49693298339844,0.17403435707092285,278.67096734046936,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2002788,833.4404110908508,0.1712510585784912,833.6116621494293,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560310,423.39420318603516,0.1779921054840088,423.57219529151917,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114606,196.66486978530884,0.16442537307739258,196.82929515838623,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305147,280.8228611946106,0.17377281188964844,280.99663400650024,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495622,904.508900642395,0.2313692569732666,904.7402698993683,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409406,308.0238103866577,0.21253204345703125,308.23634243011475,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078295,407.3538541793823,0.2247941493988037,407.5786483287811,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730322,596.4825391769409,0.2212989330291748,596.7038381099701,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012000,855.2932977676392,0.21541714668273926,855.5087149143219,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2061694,864.1233086585999,0.22300291061401367,864.3463115692139,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083016,392.0349359512329,0.16690373420715332,392.20183968544006,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401727,357.34275579452515,0.2833845615386963,357.62614035606384,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537662,542.5206899642944,0.1613771915435791,542.682067155838,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1391707,790.4161334037781,0.19573068618774414,790.6118640899658,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1064967,533.0011606216431,0.21317005157470703,533.2143306732178,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,352924,220.5522894859314,0.16353893280029297,220.7158284187317,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219260,166.48645401000977,0.13207101821899414,166.61852502822876,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836299,382.3349714279175,0.15346693992614746,382.4884383678436,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711316,437.00404167175293,0.1692659854888916,437.1733076572418,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485480,304.41370010375977,0.2934906482696533,304.7071907520294,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186202,274.36232566833496,0.25540709495544434,274.6177327632904,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362087,137.08359003067017,0.1372823715209961,137.22087240219116,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567713,385.087513923645,0.16922497749328613,385.2567389011383,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85647,136.21524572372437,0.11496663093566895,136.33021235466003,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,845884,266.69087409973145,0.10677266120910645,266.79764676094055,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43357,145.1811671257019,0.1455225944519043,145.3266897201538,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30302,131.029212474823,0.11108636856079102,131.1402988433838,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72093,133.3329677581787,0.14148664474487305,133.47445440292358,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,768836,186.5297555923462,0.1480410099029541,186.67779660224915,64.76 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,347810,314.0176057815552,0.24850702285766602,314.26611280441284,10.93 MMac
64,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,410034,129.21022176742554,0.12096810340881348,129.33118987083435,34.96 MMac
65,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,768843,408.01801681518555,0.15419363975524902,408.1722104549408,24.52 MMac
66,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1164321,366.9180154800415,0.11219668388366699,367.03021216392517,34.28 MMac
67,"['rp', 'gas', 'regas', 'trgas', 'regad']",2,2,71,844526,411.6492986679077,0.14669489860534668,411.79599356651306,67.58 MMac
68,"['rerp', 'trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,29,894578,709.1663837432861,0.25902605056762695,709.4254097938538,27.74 MMac
69,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'mk']",4,1,17,579975,524.8670101165771,0.17902016639709473,525.0460302829742,6.89 MMac
70,"['rp', 'rerp', 'gas', 'trgas', 'trgad', 'remk']",2,2,38,243296,193.05700063705444,0.17876005172729492,193.23576068878174,20.67 MMac
71,"['trrp', 'gas', 'gad']",2,3,52,618659,565.2758598327637,0.1693127155303955,565.4451725482941,49.23 MMac
72,"['mk', 'remk']",4,1,31,1808634,755.9110164642334,0.2014007568359375,756.1124172210693,17.33 MMac
73,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,3,75,1340737,652.4802446365356,0.24011969566345215,652.7203643321991,110.77 MMac
74,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'remk', 'trmk', 'ctwav']",3,1,33,507341,391.66040420532227,0.1841282844543457,391.8445324897766,16.78 MMac
75,"['gas', 'gad', 'regad', 'trgad', 'mk']",2,2,77,988534,385.25424003601074,0.16192173957824707,385.416161775589,78.82 MMac
76,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,3,12,39257,203.61617803573608,0.24078631401062012,203.8569643497467,4.05 MMac
77,"['trrp', 'gas', 'regas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,26,487254,296.1574912071228,0.19580411911010742,296.3532953262329,15.87 MMac
78,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'regad', 'mk', 'remk']",2,3,91,1937729,768.1052684783936,0.2537219524383545,768.3589904308319,155.8 MMac
79,"['regas', 'gad', 'trgad', 'trmk', 'ctwav']",3,2,47,1627658,822.2391128540039,0.18682861328125,822.4259414672852,47.56 MMac
80,"['gas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,93,2016606,825.0792860984802,0.18517422676086426,825.2644603252411,161.23 MMac
81,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad']",3,2,49,1767326,931.9194674491882,0.25539374351501465,932.1748611927032,52.07 MMac
82,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk']",3,2,27,562452,615.6943798065186,0.21649527549743652,615.910875082016,17.81 MMac
83,"['trrp', 'gas', 'regas', 'gad', 'trgad', 'mk']",3,3,21,483324,348.54406118392944,0.24561643600463867,348.7896776199341,15.09 MMac
84,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",2,2,86,1219696,479.3513059616089,0.1775975227355957,479.5289034843445,100.54 MMac
85,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,22,865278,368.4433698654175,0.18779659271240234,368.6311664581299,10.36 MMac
86,"['gas', 'regas', 'gad', 'regad']",2,2,66,708082,429.6999931335449,0.22696757316589355,429.9269607067108,56.38 MMac
87,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,3,43,455765,260.6378197669983,0.1732034683227539,260.81102323532104,38.39 MMac
88,"['trrp', 'gas', 'remk', 'trmk', 'ctwav']",2,3,37,336956,262.8784775733948,0.15562939643859863,263.0341069698334,27.83 MMac
89,"['gad', 'mk', 'trmk', 'ctwav']",4,2,15,743658,694.0636873245239,0.23129606246948242,694.2949833869934,7.78 MMac
90,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,68,764628,418.4032440185547,0.1448976993560791,418.54814171791077,63.13 MMac
91,"['rp', 'trgas', 'gad', 'mk', 'remk']",3,3,26,670703,614.3962383270264,0.17957687377929688,614.5758152008057,20.29 MMac
92,"['rp', 'trrp', 'gas', 'trgas']",3,1,48,991190,342.319655418396,0.12309074401855469,342.44274616241455,28.87 MMac
93,"['rerp', 'gas', 'gad', 'trgad', 'remk']",3,2,35,920072,609.7426414489746,0.3055686950683594,610.048210144043,27.46 MMac
94,"['rerp', 'trrp', 'trgad', 'mk']",3,3,14,197670,345.08583545684814,0.25197696685791016,345.33781242370605,6.26 MMac
95,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",2,1,55,319860,133.88605117797852,0.10337376594543457,133.98942494392395,28.23 MMac
96,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'mk', 'remk']",2,1,94,859702,271.6501235961914,0.1136784553527832,271.7638020515442,69.5 MMac
97,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,32,182514,229.29502725601196,0.2735409736633301,229.5685682296753,17.11 MMac
98,"['rerp', 'gas', 'regas', 'mk', 'trmk', 'ctwav']",2,1,19,44337,138.92827033996582,0.13297128677368164,139.0612416267395,4.39 MMac
99,"['rp', 'gas', 'gad']",4,3,24,2305016,1180.0480842590332,0.2828249931335449,1180.3309092521667,22.52 MMac
100,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",2,3,70,1130518,579.5773029327393,0.17977523803710938,579.7570781707764,92.21 MMac
101,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'remk']",3,2,37,1027654,649.5859384536743,0.23598027229309082,649.8219187259674,31.39 MMac
102,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'remk']",3,2,45,1497876,917.9680109024048,0.22920560836791992,918.1972165107727,44.41 MMac
103,"['gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,86,1211268,684.5369338989258,0.21114468574523926,684.748078584671,98.38 MMac
104,"['rp', 'trrp', 'trgad', 'mk', 'remk', 'trmk']",2,2,85,1202840,671.1274981498718,0.1551346778869629,671.2826328277588,96.23 MMac
105,"['gas', 'trgad', 'mk']",3,1,55,1343148,566.312849521637,0.13492035865783691,566.4477698802948,38.05 MMac
106,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'ctwav']",4,2,23,1668926,990.0647163391113,0.27048444747924805,990.3352007865906,17.89 MMac
107,"['regas', 'regad', 'trmk', 'ctwav']",3,1,21,212296,210.54701805114746,0.17255854606628418,210.71957659721375,6.77 MMac
108,"['rp', 'rerp', 'gas', 'regas', 'mk', 'ctwav']",2,3,40,374732,293.0609703063965,0.21919631958007812,293.28016662597656,31.16 MMac
109,"['rp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'remk']",2,3,81,1539735,836.4385485649109,0.19458246231079102,836.6331310272217,123.81 MMac
110,"['rp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'remk']",2,3,85,1691556,894.8725461959839,0.21502470970153809,895.0875709056854,135.74 MMac
111,"['rp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'remk']",2,1,85,722552,306.3720703125,0.14092707633972168,306.5129973888397,58.87 MMac
112,"['rp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'remk', 'trmk']",2,2,84,1156892,407.3227882385254,0.14693975448608398,407.4697279930115,94.08 MMac
113,"['rp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'remk']",2,1,79,627662,289.76824283599854,0.11353683471679688,289.88177967071533,51.47 MMac
114,"['rp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'remk', 'trmk']",2,2,82,1103106,473.36151599884033,0.1991868019104004,473.56070280075073,89.88 MMac
115,"['rp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'remk']",2,2,84,1152776,403.8771152496338,0.13732361793518066,404.01443886756897,93.03 MMac
116,"['rp', 'trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk']",2,2,88,1263286,706.2376499176025,0.2037343978881836,706.4413843154907,101.68 MMac
117,"['rp', 'trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk']",2,2,87,1263286,629.960310459137,0.14464235305786133,630.1049528121948,101.68 MMac
118,"['rp', 'rerp', 'trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk']",2,2,86,1211268,603.0704140663147,0.1071162223815918,603.1775302886963,98.38 MMac
119,"['rp', 'rerp', 'trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk']",2,2,87,1267598,629.766583442688,0.16746902465820312,629.9340524673462,102.78 MMac
120,"['rp', 'rerp', 'trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk']",2,2,88,1267598,675.7073879241943,0.18902373313903809,675.8964116573334,102.78 MMac
121,"['rp', 'regas', 'trgad', 'mk', 'remk', 'trmk']",2,3,85,1687342,781.7592144012451,0.21640682220458984,781.9756212234497,134.66 MMac
122,"['rp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",2,2,80,1047322,422.76034355163574,0.1741492748260498,422.9344928264618,84.77 MMac
123,"['trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",2,2,80,1043402,444.2408561706543,0.1405353546142578,444.38139152526855,83.76 MMac
124,"['rp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",2,2,82,1099088,417.68832206726074,0.1508188247680664,417.8391408920288,88.85 MMac
125,"['rp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",2,2,81,1099088,427.44109630584717,0.1724092960357666,427.61350560188293,88.85 MMac
126,"['rp', 'rerp', 'regad', 'trgad', 'mk', 'remk', 'trmk']",2,2,82,1099088,480.14581203460693,0.20711493492126465,480.3529269695282,88.85 MMac
127,"['trrp', 'regas', 'regad', 'trgad', 'mk', 'trmk']",2,2,82,1095070,454.5614004135132,0.20313382148742676,454.7645342350006,87.82 MMac
128,"['rp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,82,1111142,413.0343437194824,0.1826176643371582,413.2169613838196,91.94 MMac
129,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk']",2,3,80,1474822,890.984058380127,0.23203802108764648,891.2160964012146,120.07 MMac
130,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk']",2,3,80,1470902,790.2484059333801,0.22284841537475586,790.4712543487549,119.06 MMac
131,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk']",2,3,81,1547771,905.9629797935486,0.21859097480773926,906.1815707683563,125.87 MMac
132,"['rp', 'trrp', 'regas', 'regad', 'trgad', 'mk', 'remk', 'trmk']",2,3,80,1470902,845.6088423728943,0.20024776458740234,845.8090901374817,119.06 MMac
133,"['trrp', 'mk', 'remk', 'trmk']",2,2,85,1194412,455.6251525878906,0.17275619506835938,455.797908782959,94.07 MMac
134,"['trrp', 'trgad', 'mk', 'remk', 'trmk']",2,2,85,1198626,455.774188041687,0.18119478225708008,455.9553828239441,95.15 MMac
135,"['trrp', 'gad', 'trgad', 'remk']",2,3,81,1527681,870.8130240440369,0.17577266693115234,870.988796710968,120.73 MMac
136,"['rerp', 'trrp', 'gas', 'regas', 'mk', 'remk', 'trmk']",3,1,22,215530,203.37591171264648,0.14812135696411133,203.5240330696106,7.6 MMac
137,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'regad', 'trmk', 'ctwav']",2,1,82,662459,297.18918800354004,0.15750718116760254,297.34669518470764,54.91 MMac
138,"['trrp', 'regas', 'gad', 'trgad', 'ctwav']",2,3,81,1531699,913.0349278450012,0.21083354949951172,913.2457613945007,121.76 MMac
139,"['rp', 'trrp', 'gad', 'trgad', 'mk', 'remk']",2,2,81,1095070,430.8361053466797,0.1583266258239746,430.99443197250366,87.82 MMac
140,"['rp', 'trrp', 'gas', 'gad', 'trgad', 'mk', 'remk']",2,2,81,1099088,410.0151062011719,0.1428532600402832,410.15795946121216,88.85 MMac
141,"['rerp', 'regas', 'trgas', 'trgad', 'remk', 'ctwav']",4,1,12,259871,272.53639698028564,0.2348921298980713,272.7712891101837,3.3 MMac
142,"['rp', 'trgas', 'gad', 'regad', 'mk', 'ctwav']",4,2,15,745226,729.3731451034546,0.32235145568847656,729.6954965591431,8.18 MMac
143,"['trrp', 'trgad']",2,3,82,1519645,786.9308352470398,0.16695332527160645,787.0977885723114,118.67 MMac
144,"['rerp', 'trrp', 'trgas', 'gad', 'trgad', 'ctwav']",2,2,27,135144,203.3806562423706,0.16492915153503418,203.54558539390564,11.88 MMac
145,"['trrp', 'trgad', 'remk']",2,3,81,1523663,845.3356146812439,0.19776654243469238,845.5333812236786,119.7 MMac
146,"['trrp', 'trgad', 'remk']",2,3,82,1523663,817.2268509864807,0.18348455429077148,817.4103355407715,119.7 MMac
147,"['rp', 'trrp', 'gas', 'trgad', 'remk', 'trmk']",2,1,79,623742,282.80415534973145,0.11580777168273926,282.9199631214142,50.47 MMac
148,"['trrp', 'regas', 'gad', 'remk']",2,3,81,1527681,844.9382185935974,0.22063541412353516,845.158854007721,120.73 MMac
149,"['trrp', 'regas', 'gad', 'remk', 'trmk']",2,3,81,1531699,886.3759160041809,0.23039722442626953,886.6063132286072,121.76 MMac
150,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",2,1,23,64484,142.51943826675415,0.11408114433288574,142.63351941108704,6.53 MMac
151,"['trrp', 'gas', 'regas', 'gad', 'remk', 'trmk']",2,3,81,1535717,803.148078918457,0.19760942459106445,803.3456883430481,122.79 MMac
152,"['gas', 'regas', 'gad', 'regad', 'trmk', 'ctwav']",3,3,35,1279487,1026.183307170868,0.26776671409606934,1026.451073884964,38.15 MMac
153,"['trrp', 'gas', 'regas', 'gad', 'remk']",2,3,81,1531699,857.3042035102844,0.20483732223510742,857.5090408325195,121.76 MMac
154,"['trgas', 'mk', 'remk', 'trmk']",3,3,13,197670,320.8812117576599,0.22664475440979004,321.1078565120697,6.26 MMac
155,"['trrp', 'gas', 'gad', 'regad', 'trgad', 'remk']",2,3,81,1535717,789.3708944320679,0.2624361515045166,789.6333305835724,122.79 MMac
156,"['trrp', 'gad', 'regad', 'trgad', 'remk']",2,3,81,1531699,751.1178016662598,0.2064974308013916,751.3242990970612,121.76 MMac
157,"['rp', 'rerp', 'regad', 'trgad', 'remk', 'ctwav']",3,2,50,1767326,849.6029376983643,0.24066877365112305,849.8436064720154,52.07 MMac
158,"['gad', 'regad', 'trgad', 'remk', 'ctwav']",3,2,50,1764876,837.6911759376526,0.16954278945922852,837.8607187271118,51.44 MMac
159,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'ctwav']",3,2,50,1769776,810.9773397445679,0.20098614692687988,811.1783258914948,52.7 MMac
160,"['rp', 'regad', 'trgad', 'remk', 'ctwav']",3,2,50,1764876,901.9020438194275,0.24875092506408691,902.1507947444916,51.44 MMac
161,"['rp', 'gas', 'regas', 'gad', 'trgad', 'mk', 'trmk', 'ctwav']",2,3,79,1470902,720.1200127601624,0.1727735996246338,720.292786359787,119.06 MMac
162,"['trrp', 'gas', 'gad', 'trgad', 'remk', 'trmk']",2,3,81,1535717,763.1260871887207,0.22312378883361816,763.3492109775543,122.79 MMac
163,"['trrp', 'gas', 'gad', 'trgad', 'mk', 'remk', 'trmk']",2,3,81,1539735,806.7449927330017,0.23150920867919922,806.9765019416809,123.81 MMac
164,"['rerp', 'trrp', 'trgad', 'trmk', 'ctwav']",2,1,54,287700,140.32281637191772,0.11821889877319336,140.44103527069092,23.77 MMac
165,"['trrp', 'gas', 'gad', 'trgad', 'mk', 'remk', 'trmk']",2,3,80,1466982,803.7729620933533,0.21591877937316895,803.9888808727264,118.06 MMac
166,"['trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk']",2,2,78,992356,430.7312488555908,0.17080378532409668,430.9020526409149,79.8 MMac
167,"['rp', 'rerp', 'trrp', 'regad', 'trgad', 'remk', 'trmk']",2,2,85,1207054,636.1836075782776,0.17402052879333496,636.3576281070709,97.3 MMac
168,"['trrp', 'trgas', 'gad', 'trgad', 'remk']",2,3,78,1387406,800.0731587409973,0.18026304244995117,800.2534217834473,110.48 MMac
169,"['trrp', 'trgas', 'gad', 'trgad', 'remk']",2,3,80,1459142,758.5191249847412,0.21325469017028809,758.7323796749115,116.05 MMac
170,"['rp', 'trrp', 'gad', 'trgad', 'remk', 'trmk']",2,1,77,593484,309.7241163253784,0.15448832511901855,309.87860465049744,48.14 MMac
171,"['trrp', 'gad', 'trgad', 'remk']",2,1,77,585840,272.36328125,0.12540340423583984,272.48868465423584,46.18 MMac
172,"['rp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'remk']",2,3,78,1395050,805.699360370636,0.20065975189208984,805.9000201225281,112.44 MMac
